Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
1,03/06/2026,13:45,Incident,Tsy mandeha,hafahafa be,New,Medium,"[""PC-ADM-001""]"
2,04/06/2026,13:45,Incident,Michauffe,mamay be,In progress,Medium,"[""PC-ADM-001"",""MN-FORM-002""]"
3,05/06/2026,09:30,Request,Bug affichage,Page ne s'affiche pas correctement,New,High,"[""WEB-001""]"
4,05/06/2026,10:15,Incident,Serveur lent,Performance degradée,In progress,High,"[""SRV-001"",""SRV-002""]"
5,06/06/2026,14:20,Request,Nouvelle fonctionnalité,Ajouter export PDF,Closed,Low,"[""APP-001""]"
6,06/06/2026,15:00,Incident,Erreur database,Connexion échouée,New,Critical,"[""DB-001""]"
7,07/06/2026,08:45,Request,Mise à jour,Mettre à jour le formulaire,In progress,Medium,"[""FORM-001"",""FORM-002""]"
8,07/06/2026,11:30,Incident,Accès refusé,Utilisateur ne peut pas se connecter,Closed,High,"[""AUTH-001""]"
9,08/06/2026,09:00,Request,Documentation,Ajouter guide utilisateur,New,Low,"[""DOC-001""]"
10,08/06/2026,13:15,Incident,Cache corrompu,Données invalides en cache,In progress,Medium,"[""CACHE-001""]"
11,09/06/2026,10:30,Request,Optimisation,Améliorer les requêtes SQL,Closed,Medium,"[""DB-002"",""PERF-001""]"
12,09/06/2026,14:45,Incident,Email non envoyé,Notification échouée,New,High,"[""EMAIL-001""]"
13,10/06/2026,08:00,Request,Sécurité,Ajouter validation input,In progress,Critical,"[""SEC-001""]"
14,10/06/2026,11:20,Incident,Import data,Fichier CSV rejeté,Closed,Medium,"[""DATA-001""]"
15,11/06/2026,09:45,Request,Interface,Redesign dashboard,New,Medium,"[""UI-001"",""UI-002""]"
16,11/06/2026,15:00,Incident,Rapport erroné,Statistiques incorrectes,In progress,High,"[""REPORT-001""]"
17,12/06/2026,10:15,Request,Intégration API,Connecter service externe,Closed,Medium,"[""API-001""]"
18,12/06/2026,13:30,Incident,Backup échoué,Sauvegarde non complète,New,Critical,"[""BACKUP-001""]"
19,13/06/2026,09:00,Request,Maintenance,Nettoyer base données,In progress,Low,"[""MAINT-001""]"
20,13/06/2026,16:45,Incident,Déploiement problème,Version cassée en prod,Closed,Critical,"[""DEPLOY-001"",""DEPLOY-002""]"
